ChannelID,ChannelName,LänderID,Country,Land,Kontinent,Country Code of Channel availability,Sprache,Added to Sport World API feed,Added to Sport World platform,Date when EPG was added to the API feed,"Deep link (iOS/Android)
 YES/NO",Deep link (iOS/Android),"Deep link (Samsung CTV)
 YES/NO",MetaProfile External ID,MetaProfile Channel ID,Country Prio,Rechte,ChannelType,Channel broadcasting type,ChannelPrio,Channel Prio MetaProfile,Category,Classification,Classification w/ MetaProfile,Comment
,Navarra TV,ES,Spain,Spanien,Europe,ES,,Yes,,12.01.2024,Yes,,,navarra-tv,6264,A,,,Linear,,A,SpanishTelevision,,AA,
,NCI,CI,,,,CI,,Yes,,12.01.2024,Yes,,,nci,6372,C,,,Linear,,A,Foreign,,CA,
,VTV 2,VN,,,,VN,,Yes,,12.01.2024,Yes,,,vtv-2,4848,A,,,Linear,,A,Viet Nam television,,AA,
,HOY IBC,HK,,,,HK,,Yes,,15.01.2024,Yes,,,hoy-international-business-channel,6375,C,,,Linear,,A,Chinese,,CA,
,HOY TV,HK,,,,HK,,Yes,,15.01.2024,Yes,,,hoy-tv,6374,C,,,Linear,,A,Chinese,,CA,
,RAI Italia Sud America,IT,Italy,Italien,Europe,"UY,VE,BM,BO,BR,CL,CO,CR,EC,GT,HN,MX,NI,PA,PY,PE,PR,DO,TT,AR,AI",,Yes,,15.01.2024,Yes,,,rai-italia-sud-america,6377,A,,,Linear,,A,ItalianTelevision,,AA,
,RAI Italia Nord America,IT,Italy,Italien,Europe,"US,CA,PR",,Yes,,15.01.2024,Yes,,,rai-italia-nord-america,6376,A,,,Linear,,A,ItalianTelevision,,AA,
,ZDF stream,DE,Germany,Deutschland,Europe,DE,,Yes,,15.01.2024,Yes,, ,zdf-stream,6430,A,FreeTV,,Streaming,,A,GermanTelevision,AA,AAA,
,ARD Plus,DE,Germany,Deutschland,Europe,DE,,Yes,,17.01.2024,Yes,, ,ard-plus-de,6389,A,FreeTV,,Streaming,,A,GermanTelevision,AA,AAA,
,SBT,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,, ,sbt,797,A,,,Linear,,A,BrasilTelevision,,AA,
,RecordTV,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,,Yes,rede-record,798,A,,,Linear,,A,BrasilTelevision,,AA,
,RedeTV!,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,, ,redetv,800,A,,,Linear,,A,BrasilTelevision,,AA,
,eSports TV,US,United States of America,Vereinigte Staaten von Amerika,North America,US,,Yes,,24.01.2024,Yes,, ,esports-tv,1671,A,FreeTV,,Linear,,A,SportChannels,,AA,
,CNBC US,US,United States of America,Vereinigte Staaten von Amerika,North America,US,,Yes,,24.01.2024,Yes,, ,cnbc-us,4666,A,PayTV,,Linear,,A,NewsChannels,,AA,
,Golperu,PE,,,,PE,,Yes,,24.01.2024,Yes,, ,golperu,6104,B,,,Linear,,A,SportChannels,,BA,
,ZONA DAZN 1,IT,Italy,Italien,Europe,IT,,Yes,,24.01.2024,Yes,, ,zona-dazn-1,6378,A,,,Linear,,A,ItalianTelevision,,AA,
,ZONA DAZN 2,IT,Italy,Italien,Europe,IT,,Yes,,24.01.2024,Yes,, ,zona-dazn-2,6379,A,,,Linear,,A,ItalianTelevision,,AA,
,Sky Sport Tennis IT,IT,Italy,Italien,Europe,IT,,Yes,,24.01.2024,Yes,, ,sky-sport-tennis-it,6380,A,,,Linear,,A,SportChannels,,AA,
,Fox Sports AR,AR,Argentina,Argentinien,Latin America and the Caribbean,AR,,Yes,,24.01.2024,Yes,, ,fox-sports-ar,6386,A,,,Linear,,A,SportChannels,,AA,
,Fight Network West,CA,,,,US,,Yes,,24.01.2024,Yes,https://www.fightnetwork.com/, ,fight-network-west,6420,A,PayTV,,Linear,,A,SportChannels,,AA,
,TV A Crítica,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,, ,tv-a-critica,6425,A,,,Linear,,A,BrasilTelevision,,AA,
,TVE Bahia,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,, ,tve-bahia,6427,A,,,Linear,,A,BrasilTelevision,,AA,
,FAF TV,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,https://www.youtube.com/@faftv-live1006/featured, ,faf-tv,6428,A,,,Streaming,,A,SportChannels,,AA,
,TVE Espírito Santo,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,, ,tve-espirito-santo,6429,A,,,Streaming,,A,BrasilTelevision,,AA,
,TV FPF,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,https://www.youtube.com/@TVFPFPE/streams, ,tv-fpf,6431,A,,,Streaming,,A,,,AA,
,CANAL+ CAN,FR,France,Frankreich,Europe,"BJ,FR",,Yes,,24.01.2024,Yes,, ,canal-plus-can,6432,C,FreeTV,,Linear,,A,FranceTelevision,,CA,
,N Sports,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,https://www.youtube.com/@NSPORTS_OFICIAL/streams, ,n-sports,6433,A,,,Streaming,,A,,,AA,
,CazéTV,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,https://www.youtube.com/@CazeTV/streams, ,cazetv,6434,A,,,Streaming,,A,,,AA,
,TVE Espírito Santo YouTube,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,https://www.youtube.com/@tveespiritosanto/streams, ,tve-espirito-santo-youtube,6436,A,,,Streaming,,A,,,AA,
,Canal GOAT,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,https://www.youtube.com/@canalgoatbr/streams, ,canal-goat,6437,A,,,Streaming,,A,,,AA,
,Band RN,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,https://www.youtube.com/@tvbandrn/streams, ,band-rn,6438,A,,,Streaming,,A,,,AA,
,Esporte Na Cultura,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,https://www.youtube.com/@EsporteNaCultura/streams, ,esporte-na-cultura,6441,A,,,Streaming,,A,,,AA,
,FMF TV,BR,Brazil,Brasilien,South America,BR,,Yes,,24.01.2024,Yes,https://www.youtube.com/@fmftv2900/streams, ,fmf-tv,6442,A,,,Streaming,,A,,,AA,
