channel_name,channel_id,country_code,in_SW
RAI Italia Africa,rai-italia-africa,"BF,CG,CM,ML,NG,RW,TZ,ZA",Yes(201)
TDMAX,tdmax,CR,Yes(201)
SuperSport 1 KS,supersport-1-ks,KS,Yes(201)
SuperSport 2 KS,supersport-2-ks,KS,Yes(201)
SuperSport 3 KS,supersport-3-ks,KS,Yes(201)
TV4 LV,tv4-lv,LV,Yes(201)
TDM,tdm,MO,Yes(201)
Football 1 BR,football-1-br,SA,Yes(201)
Football 2 BR,football-2-br,SA,Yes(201)
Football 3 BR,football-3-br,SA,Yes(201)
Football 4 BR,football-4-br,SA,Yes(201)
Football 5 BR,football-5-br,SA,Yes(201)
Football 6 BR,football-6-br,SA,Yes(201)
Football 7 BR,football-7-br,SA,Yes(201)
30A TV Cars,30a-tv-cars,US,Yes(201)
Telequattro,telequattro,IT,Yes(201)
KOMPAS TV,kompas-tv,ID,Yes(201)
Teletutto,teletutto,IT,Yes(201)
TVG 2 ES,tvg-2-es,ES,Yes(201)
TV Chosun,tv-chosun,KR,Yes(201)
R1 FO,r1-fo,FO,Yes(201)
TV Chosun 2,tv-chosun-2,KR,Yes(201)
TV Chosun 3,tv-chosun-3,KR,Yes(201)
Sportstars ID,sportstars-id,ID,Yes(201)
Sportstars 2 ID,sportstars-2-id,ID,Yes(201)
Sportstars 3 ID,sportstars-3-id,ID,Yes(201)
Sportstars 4 ID,sportstars-4-id,ID,Yes(201)
SPOTV Indonesia,spotv-indonesia,"ID,JP,KR,PH",Yes(201)
SPOTV 2 Indonesia,spotv-2-indonesia,"ID,JP,KR,PH",Yes(201)
MNC Soccer Channel,mnc-soccer-channel,ID,Yes(201)
M+ Deportes 4,m-deportes-4,ES,Yes(201)
DAZN LALIGA,dazn-laliga,ES,Yes(201)
LALIGA TV HYPERMOTION,laliga-tv-hypermotion,ES,Yes(201)
M+ LALIGA TV 2,m-laliga-tv-2,ES,Yes(201)
DAZN LALIGA 2,dazn-laliga-2,ES,Yes(201)
LALIGA TV HYPERMOTION 2,laliga-tv-hypermotion-2,ES,Yes(201)
M+ Liga de Campeones 2,m-liga-de-campeones-2,ES,Yes(201)
M+ Liga de Campeones 3,m-liga-de-campeones-3,ES,Yes(201)
M+ Ellas Vamos,m-ellas-vamos,ES,Yes(201)
M+ Golf 2,m-golf-2,ES,Yes(201)
Sky Sport Tennis,sky-sport-tennis,"CH,DE",Yes(201)
Sky Sport Golf,sky-sport-golf,"CH,DE",Yes(201)
Sky Sport F1,sky-sport-f1,"CH,DE",Yes(201)
Sky Sport Top Event,sky-sport-top-event,"CH,DE",Yes(201)
GibraltarFA TV,gibraltarfa-tv,GI,Yes(201)
Sportdigital Fussball 2,sportdigital-fussball-2,DE,Yes(201)
Channel Eye,channel-eye,LK,Yes(201)
